_id,Date & Time,Category,Location
65c9a40eda14d7fbdcea7397,24-02-12 10:22:30,car,E:/OBJECT DETECTION/yolov8counting-trackingvehicles-main/yolov8counting-trackingvehicles-main/Images/36.jpg
65c9a40eda14d7fbdcea7399,24-02-12 10:22:30,car,E:/OBJECT DETECTION/yolov8counting-trackingvehicles-main/yolov8counting-trackingvehicles-main/Images/37.jpg
65c9a40eda14d7fbdcea739b,24-02-12 10:22:30,,E:/OBJECT DETECTION/yolov8counting-trackingvehicles-main/yolov8counting-trackingvehicles-main/Images/38.jpg
65c9a40eda14d7fbdcea739d,24-02-12 10:22:30,,E:/OBJECT DETECTION/yolov8counting-trackingvehicles-main/yolov8counting-trackingvehicles-main/Images/39.jpg
65c9a40fda14d7fbdcea739f,24-02-12 10:22:31,,E:/OBJECT DETECTION/yolov8counting-trackingvehicles-main/yolov8counting-trackingvehicles-main/Images/40.jpg
65c9a40fda14d7fbdcea73a1,24-02-12 10:22:31,,E:/OBJECT DETECTION/yolov8counting-trackingvehicles-main/yolov8counting-trackingvehicles-main/Images/41.jpg
65c9a40fda14d7fbdcea73a3,24-02-12 10:22:31,,E:/OBJECT DETECTION/yolov8counting-trackingvehicles-main/yolov8counting-trackingvehicles-main/Images/42.jpg
65c9a40fda14d7fbdcea73a5,24-02-12 10:22:31,,E:/OBJECT DETECTION/yolov8counting-trackingvehicles-main/yolov8counting-trackingvehicles-main/Images/43.jpg
65c9a40fda14d7fbdcea73a7,24-02-12 10:22:31,,E:/OBJECT DETECTION/yolov8counting-trackingvehicles-main/yolov8counting-trackingvehicles-main/Images/44.jpg
65c9a410da14d7fbdcea73a9,24-02-12 10:22:32,,E:/OBJECT DETECTION/yolov8counting-trackingvehicles-main/yolov8counting-trackingvehicles-main/Images/45.jpg
65c9a410da14d7fbdcea73ab,24-02-12 10:22:32,,E:/OBJECT DETECTION/yolov8counting-trackingvehicles-main/yolov8counting-trackingvehicles-main/Images/46.jpg
65c9a410da14d7fbdcea73ad,24-02-12 10:22:32,,E:/OBJECT DETECTION/yolov8counting-trackingvehicles-main/yolov8counting-trackingvehicles-main/Images/47.jpg
65c9a410da14d7fbdcea73af,24-02-12 10:22:32,,E:/OBJECT DETECTION/yolov8counting-trackingvehicles-main/yolov8counting-trackingvehicles-main/Images/48.jpg
65c9a411da14d7fbdcea73b1,24-02-12 10:22:33,,E:/OBJECT DETECTION/yolov8counting-trackingvehicles-main/yolov8counting-trackingvehicles-main/Images/49.jpg
65c9a411da14d7fbdcea73b3,24-02-12 10:22:33,,E:/OBJECT DETECTION/yolov8counting-trackingvehicles-main/yolov8counting-trackingvehicles-main/Images/50.jpg
65c9a411da14d7fbdcea73b5,24-02-12 10:22:33,,E:/OBJECT DETECTION/yolov8counting-trackingvehicles-main/yolov8counting-trackingvehicles-main/Images/51.jpg
